Q_GDP_1	Q_GDP_Demand_1	Q_GDP_Demand_2_1
346,6186339	358,1094746	331,9584277
347,8360255	353,7526936	327,4357822
349,2087891	354,0702823	327,6233099
347,6253253	354,2141492	327,6574083
342,3602489	349,2725522	322,5922268
343,8617386	352,0746378	325,2209681
343,3701459	352,3905078	325,4156284
345,0657583	352,1992493	325,099388
349,7314077	356,0082232	328,7819223
351,4178915	359,2177185	331,8283544
352,5892722	363,1089793	335,5801621
352,171322	363,8207201	336,1766888
350,9286718	362,5549336	334,780192
356,7332605	369,176765	341,2293151
358,5548954	372,2769966	344,2022058
358,5883094	374,4028981	346,1977826
354,0945243	370,1608952	341,8220417
359,9478046	377,5680692	349,0708227
360,8531158	380,5565843	351,8847442
364,3646035	384,2669626	355,4822858
365,5209306	387,5273126	358,6112126
368,0308905	389,217564	360,1290716
372,1172343	394,777085	365,5610389
373,0333745	398,2092337	368,9729584
372,5384929	401,7249132	372,2284218
375,122541	404,6034888	374,9265758
379,1856062	410,2656187	380,4419904
381,660139	412,9086449	383,1092611
389,3341544	419,7415242	389,6501873
390,549327	418,9501409	388,974381
394,2247713	426,5376551	396,1438677
390,3603518	419,2702771	388,8305021
392,2734006	423,1234674	392,5575441
395,8720996	427,3912998	396,4971414
390,6849344	422,3449021	391,2978648
391,9081972	422,0050202	390,8336685
394,7642119	422,8351224	391,5221265
398,6073378	425,4928655	393,9800411
391,5554231	418,9207152	387,2664714
399,4960128	425,9928852	394,2077426
403,8492172	431,1479614	399,2071244
409,0119701	434,8422153	402,6896376
410,3461528	435,1986658	402,883089
415,9165686	439,6802261	407,2260775
417,4964948	442,6403607	410,037774
418,8215015	445,2062224	412,4026235
419,0783094	445,9782706	413,0399413
422,3987382	451,2649194	418,2046806
417,9795309	446,4941764	413,2483535
426,6697557	452,5255882	419,0713022
435,2305046	461,1106311	427,2620798
439,4731713	462,7081903	428,8950609
446,2226632	471,1999824	437,3236774
453,1298278	478,4779463	444,2993517
452,3021786	478,1424579	443,8537567
460,3387428	489,9807624	455,5313305
451,4343805	481,1649258	446,3863738
456,7779517	484,4653327	449,3884437
452,0285911	479,2478334	444,2561145
460,5408903	490,0034128	454,7782566
462,5426241	492,1313103	456,960857
459,2302368	486,9082041	451,3789371
461,2658786	489,447553	453,7724578
459,6633008	492,3223056	456,4936962
460,687922	492,6815271	456,6859435
463,143538	486,7892538	450,5521543
463,4228988	487,5215233	451,0864663
462,9859263	488,49919	451,9194303
462,5946283	486,729023	449,9862466
470,6885803	489,6673159	452,6992269
475,2656259	495,6392446	458,5090213
469,9503984	490,6372788	453,3342356
469,1031694	493,9232767	456,4452076
477,4739399	499,4613051	461,6665864
482,3781376	506,8686002	468,9622208
476,6390759	501,9714071	463,7430363
477,5455213	502,9485396	464,7096663
487,6942085	509,393143	470,9143123
486,9828038	509,0877687	470,244045
493,5627393	516,5751997	477,7441301
502,1433714	523,3827112	484,3756874
510,2546392	529,5084117	490,2594836
522,4553336	545,0473812	505,6731474
523,535717	543,3222416	503,83101
527,6328035	543,9852495	504,215968
531,8547403	548,5689262	508,8508319
536,9167301	557,6199672	517,5867388
531,2164066	552,1294753	511,8835618
523,1136805	543,3118567	502,746451
535,161777	550,6440113	509,9501575
542,4401588	566,457313	525,3765381
546,3714028	572,4084301	530,7584226
535,4651592	563,0147707	521,6029233
532,9342617	559,1805276	517,4960792
534,3453229	560,9054981	519,051485
540,7635625	563,6251077	521,5821149
537,0792489	560,915423	518,6799446
